TIMESTAMP, PID, USER, PRIORITY, NICE, VIRT, RESIDENT, SHARED, STATUS, %CPU, %MEM, TIME+, COMMAND
2018-06-01@03:02:12  18744 david     20   0  252296  45268   8636 R 81.0  4.5   0:00.19 gm
2018-06-01@03:02:12  18744 david     20   0  268540 134116   8832 R 88.5 13.4   0:01.11 gm
2018-06-01@03:02:12  18744 david     20   0  212616  89344   8896 R 86.5  8.9   0:02.01 gm
2018-06-01@03:02:12  18744 david     20   0  422264 108432   8896 R 86.5 10.8   0:02.91 gm
2018-06-01@03:02:12  18744 david     20   0  445436 260232   8896 R 85.6 26.0   0:03.80 gm
2018-06-01@03:02:12  18744 david     20   0  445436 273960   8896 R 84.6 27.4   0:04.68 gm
2018-06-01@03:02:12  18744 david     20   0  253772 121632   8896 R 79.0 12.1   0:05.51 gm
